,G,Date,Start (ET),Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,teamgame,season
0,1,"Tue, Oct 27, 2015",8:00p,Box Score,,Detroit Pistons,L,,94,106,0,1,L 1,ATL,2016
1,2,"Thu, Oct 29, 2015",8:00p,Box Score,@,New York Knicks,W,,112,101,1,1,W 1,ATL,2016
2,3,"Fri, Oct 30, 2015",8:00p,Box Score,,Charlotte Hornets,W,,97,94,2,1,W 2,ATL,2016
3,4,"Sun, Nov 1, 2015",2:00p,Box Score,@,Charlotte Hornets,W,,94,92,3,1,W 3,ATL,2016
4,5,"Tue, Nov 3, 2015",7:30p,Box Score,@,Miami Heat,W,,98,92,4,1,W 4,ATL,2016
5,6,"Wed, Nov 4, 2015",8:00p,Box Score,,Brooklyn Nets,W,,101,87,5,1,W 5,ATL,2016
6,7,"Fri, Nov 6, 2015",8:00p,Box Score,@,New Orleans Pelicans,W,,121,115,6,1,W 6,ATL,2016
7,8,"Sat, Nov 7, 2015",7:30p,Box Score,,Washington Wizards,W,,114,99,7,1,W 7,ATL,2016
8,9,"Mon, Nov 9, 2015",8:00p,Box Score,,Minnesota Timberwolves,L,,107,117,7,2,L 1,ATL,2016
9,10,"Wed, Nov 11, 2015",8:00p,Box Score,,New Orleans Pelicans,W,,106,98,8,2,W 1,ATL,2016
10,11,"Fri, Nov 13, 2015",7:30p,Box Score,@,Boston Celtics,L,,93,106,8,3,L 1,ATL,2016
11,12,"Sun, Nov 15, 2015",6:00p,Box Score,,Utah Jazz,L,,96,97,8,4,L 2,ATL,2016
12,13,"Tue, Nov 17, 2015",7:30p,Box Score,@,Brooklyn Nets,L,,88,90,8,5,L 3,ATL,2016
13,14,"Wed, Nov 18, 2015",8:00p,Box Score,,Sacramento Kings,W,,103,97,9,5,W 1,ATL,2016
14,15,"Sat, Nov 21, 2015",7:30p,Box Score,@,Cleveland Cavaliers,L,,97,109,9,6,L 1,ATL,2016
15,16,"Tue, Nov 24, 2015",8:00p,Box Score,,Boston Celtics,W,,121,97,10,6,W 1,ATL,2016
16,17,"Wed, Nov 25, 2015",8:00p,Box Score,@,Minnesota Timberwolves,L,,95,99,10,7,L 1,ATL,2016
